[3.8507487773895264, 0.3309859037399292]
[3.921225070953369, 0.5704225301742554]
[4.22946310043335, 0.3380281627178192]
[4.0737104415893555, 0.5422534942626953]
[3.6669626235961914, 0.35915493965148926]
[3.862349033355713, 0.5352112650871277]
[4.296661376953125, 0.40140846371650696]
[3.071690320968628, 0.5070422291755676]
[3.0157649517059326, 0.5422534942626953]
[3.4292969703674316, 0.47183099389076233]
[3.3418474197387695, 0.6760563254356384]
[3.840055227279663, 0.6338028311729431]
[3.223151206970215, 0.38732394576072693]
[3.1192069053649902, 0.4507042169570923]
[4.233463764190674, 0.4647887349128723]
[3.8167178630828857, 0.39436620473861694]
[4.608729362487793, 0.49295774102211]
[4.2679829597473145, 0.47887325286865234]
[4.2278337478637695, 0.6338028311729431]
[4.268711566925049, 0.44366195797920227]
[3.7707810401916504, 0.31690141558647156]
[3.3173794746398926, 0.4225352108478546]
[4.3277130126953125, 0.7605633735656738]
[3.2871882915496826, 0.6549295783042908]
[4.114235877990723, 0.26760563254356384]
[4.335892677307129, 0.42957746982574463]
[3.776839256286621, 0.4577464759349823]
[3.8258821964263916, 0.591549277305603]
[4.494345188140869, 0.1267605572938919]
[3.36940598487854, 0.35915493965148926]
[3.869518995285034, 0.6056337952613831]
[3.9781596660614014, 0.42957746982574463]
[3.8089966773986816, 0.30985915660858154]
[4.227470874786377, 0.5422534942626953]
[4.680156707763672, 0.4577464759349823]
[4.655272483825684, 0.5281690359115601]
[3.7478511333465576, 0.47887325286865234]
[4.2688069343566895, 0.5]
[4.267560005187988, 0.23943662643432617]
[2.975126266479492, 0.6619718074798584]
[3.552584171295166, 0.5985915660858154]
[4.039677619934082, 0.38732394576072693]
[4.457374095916748, 0.7042253613471985]
[2.951732873916626, 0.7253521084785461]
[3.259838819503784, 0.5281690359115601]
[3.5595242977142334, 0.5352112650871277]
[3.6999669075012207, 0.30985915660858154]
[4.316755294799805, 0.3380281627178192]
[3.715580701828003, 0.5211267471313477]
[4.4189133644104, 0.577464759349823]
[4.732881546020508, 0.42957746982574463]
[3.9099223613739014, 0.577464759349823]
[3.3683199882507324, 0.591549277305603]
[3.398228883743286, 0.7253521084785461]
[3.7001235485076904, 0.5845070481300354]
[2.8421790599823, 0.7605633735656738]
[3.8877856731414795, 0.44366195797920227]
[4.648839473724365, 0.21830986440181732]
[3.6481988430023193, 0.8239436745643616]
[3.8673148155212402, 0.51408451795578]
[4.151200294494629, 0.5]
[2.9273247718811035, 0.7183098793029785]
[3.006349802017212, 0.7323943376541138]
[3.662243366241455, 0.6619718074798584]
[3.893209457397461, 0.3661971688270569]
[3.4369568824768066, 0.40140846371650696]
[4.001797676086426, 0.4154929518699646]
[3.933152198791504, 0.43661972880363464]
[3.4914493560791016, 0.5985915660858154]
[2.698023796081543, 1.0]
[3.4143130779266357, 0.6056337952613831]
[2.9886741638183594, 0.7957746386528015]
[3.723778486251831, 0.5070422291755676]
[3.438225030899048, 0.6549295783042908]
[4.413115978240967, 0.5422534942626953]
[4.085236549377441, 0.5422534942626953]
[3.922645092010498, 0.6126760840415955]
[3.3579838275909424, 0.6126760840415955]
[4.124017238616943, 0.9014084339141846]
[4.0069475173950195, 0.2957746386528015]
[4.158039569854736, 0.39436620473861694]
[4.5657172203063965, 0.5352112650871277]
[4.389113903045654, 0.38732394576072693]
[3.8844153881073, 0.5352112650871277]
[4.0980963706970215, 0.18309858441352844]
[4.137765407562256, 0.6408450603485107]
[4.258472919464111, 0.3239436745643616]
[4.353895664215088, 0.2112676054239273]
[3.9492881298065186, 0.3732394278049469]
[3.150144577026367, 0.7464788556098938]
[2.960089683532715, 0.7112675905227661]
[3.8050131797790527, 0.577464759349823]
[3.9805305004119873, 0.3802816867828369]
[3.9319205284118652, 0.21830986440181732]
[3.5565645694732666, 0.47887325286865234]
[4.096279144287109, 0.6126760840415955]
[4.459646701812744, 0.4577464759349823]
[3.7642290592193604, 0.5281690359115601]
[4.086180686950684, 0.4084506928920746]
[3.200838088989258, 0.5281690359115601]
